# hjd                mag        mag_err  
  2457790.75547454   0.00429    0.00296  
  2457790.755625     0.01366    0.00298  
  2457790.75576389   -0.001     0.00295  
  2457790.75591435   0.01609    0.00298  
  2457790.75606481   0.01914    0.00298  
  2457790.75621528   0.00875    0.00297  
  2457790.75636574   0.02236    0.00299  
  2457790.7565162    0.01246    0.00297  
  2457790.75665509   0.01683    0.00298  
  2457790.75681713   0.00735    0.00296  
  2457790.75695602   0.01828    0.00298  
  2457790.75710648   0.01586    0.00297  
  2457790.75725694   0.02183    0.00298  
  2457790.75740741   -4.1E-4    0.00295  
  2457790.75755787   0.01102    0.00296  
  2457790.75769676   0.02638    0.00299  
  2457790.7578588    0.01875    0.00297  
  2457790.75800926   0.01651    0.00297  
  2457790.75815972   0.00811    0.00295  
  2457790.75831019   0.02077    0.00298  
  2457790.75846065   -0.0011    0.00294  
  2457790.75861111   0.00668    0.00295  
  2457790.75876157   0.01458    0.00296  
  2457790.75890046   0.01261    0.00296  
  2457790.7590625    0.0163     0.00297  
  2457790.75920139   0.01225    0.00296  
  2457790.75935185   0.02061    0.00297  
  2457790.75950231   0.0043     0.00295  
  2457790.75965278   0.01271    0.00296  
  2457790.75980324   0.01185    0.00296  
  2457790.75994213   0.01264    0.00296  
  2457790.76009259   0.00281    0.00294  
  2457790.76024306   0.0177     0.00297  
  2457790.76039352   0.01407    0.00296  
  2457790.76053241   0.00589    0.00295  
  2457790.76068287   0.01146    0.00296  
  2457790.76083333   0.01623    0.00296  
  2457790.7609838    0.00761    0.00295  
  2457790.76113426   0.00831    0.00296  
  2457790.76128472   0.00991    0.00296  
  2457790.76143519   0.0055     0.00295  
  2457790.76157407   0.01111    0.00295  
  2457790.76172454   0.01721    0.00296  
  2457790.761875     0.01723    0.00296  
  2457790.76202546   0.0101     0.00295  
  2457790.76217593   0.01604    0.00296  
  2457790.76231481   0.00905    0.00295  
  2457790.76246528   0.00352    0.00294  
  2457790.76261574   0.00501    0.00294  
  2457790.7627662    0.01568    0.00296  
  2457790.76291667   0.00672    0.00294  
  2457790.76306713   0.01502    0.00295  
  2457790.76320602   0.01601    0.00296  
  2457790.76335648   0.02168    0.00297  
  2457790.76350694   0.01618    0.00296  
  2457790.76365741   0.01074    0.00295  
  2457790.76380787   0.01846    0.00296  
  2457790.76394676   0.01246    0.00295  
  2457790.76409722   -0.00458   0.00293  
  2457790.76424769   0.01299    0.00295  
  2457790.76439815   0.01314    0.00295  
  2457790.76454861   0.0169     0.00296  
  2457790.7646875    0.02219    0.00297  
  2457790.76483796   0.00819    0.00294  
  2457790.76498843   0.01741    0.00296  
  2457790.76513889   0.02062    0.00297  
  2457790.76528935   0.01941    0.00296  
  2457790.76543981   0.01925    0.00296  
  2457790.7655787    0.00489    0.00294  
  2457790.76572917   0.01521    0.00295  
  2457790.76587963   0.01313    0.00295  
  2457790.76603009   0.01053    0.00294  
  2457790.76618056   0.01281    0.00295  
  2457790.76633102   0.01433    0.00295  
  2457790.76646991   0.01229    0.00295  
  2457790.76662037   0.02527    0.00297  
  2457790.76677083   0.0155     0.00295  
  2457790.7669213    0.01442    0.00295  
  2457790.76707176   0.02349    0.00297  
  2457790.76721065   0.01931    0.00296  
  2457790.76736111   0.00619    0.00294  
